,x,y,z,projection,Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B46C0250_1,189326.0,404609.0,13.16,epsg:28992,B46C0250,001,46CL0023,189326,404609,1680,04-08-2004,04-08-2004,04-05-2017,1666,-14,1366,1266
B46D0358_1,190321.0,407047.0,9.95,epsg:28992,B46D0358,001,46DP0358,190321,407047,1288,17-01-2011,17-01-2011,28-01-2011,1369,81,1045,945
B46C0251_1,189414.0,405714.0,12.21,epsg:28992,B46C0251,001,,189414,405714,1465,10-01-2011,10-01-2011,13-09-2018,1552,87,1321,1121
B46D0359_1,192194.0,407043.0,10.19,epsg:28992,B46D0359,001,46DP0359,192194,407043,1332,14-01-2011,14-01-2011,13-09-2018,1328,-4,1069,969
B46D0796_1,192950.0,404140.0,,epsg:28992,B46D0796,001,46DP0019,192950,404140,,,01-01-1961,14-12-1982,,,,
B46D0328_4,191292.0,404725.0,-4.47,epsg:28992,B46D0328,004,46DP0328,191292,404725,1523,04-01-2011,04-01-2011,01-02-2011,1600,77,-397,-497
B46D0821_1,190546.0,405971.0,11.2,epsg:28992,B46D0821,001,46DP0087,190546,405971,1390,05-01-2011,05-01-2011,13-09-2018,1477,87,1170,1070
B46D0820_1,191916.0,406973.0,11.56,epsg:28992,B46D0820,001,46DP0086,191916,406973,1363,17-01-2011,17-01-2011,06-03-2012,1458,95,1206,1106
B46D0366_1,191855.0,404280.0,11.24,epsg:28992,B46D0366,001,46DP0366,191855,404280,1445,19-08-1976,19-08-1976,14-04-2007,1428,-17,1174,1074
B46D0831_2,191135.0,406590.0,8.19,epsg:28992,B46D0831,002,46DP0102,191135,406590,1328,28-04-1987,28-04-1987,28-01-2003,1317,-11,919,719
B46D1034_1,191247.0,406307.0,10.54,epsg:28992,B46D1034,001,,191247,406307,1326,10-01-2011,10-01-2011,13-09-2018,1412,86,1104,1004
B46D1035_1,190105.0,405945.0,11.25,epsg:28992,B46D1035,001,,190105,405945,1385,13-09-1984,13-09-1984,28-01-2010,1373,-12,1225,1025
B52B0389_1,193879.0,399749.0,13.88,epsg:28992,B52B0389,001,52BP0098,193879,399749,2042,05-01-2011,05-01-2011,14-09-2018,2132,90,1438,1338
B46D0008_1,198330.0,401090.0,6.18,epsg:28992,B46D0008,001,46DB0008,198330,401090,1556,14-12-1960,14-12-1960,14-12-1979,1546,-10,953,283
B46D1528_1,190107.0,405940.0,10.77,epsg:28992,B46D1528,001,,190107,405940,1385,01-02-2010,04-01-2011,13-09-2018,1471,86,1127,1027
B46D0985_1,191640.0,402890.0,15.56,epsg:28992,B46D0985,001,46DL0020,191640,402890,1730,14-12-1965,28-08-1970,14-12-1970,1731,1,1581,1531
B52B0135_1,194554.0,398472.0,12.44,epsg:28992,B52B0135,001,52BP0135,194554,398472,2158,13-09-2017,13-09-2017,31-10-2019,2236,78,1294,1194
B46D1487_1,194917.0,406692.0,7.2,epsg:28992,B46D1487,001,,194917,406692,1105,31-05-2017,31-05-2017,05-04-2018,1143,38,770,670
B46D1554_1,195864.0,405236.0,,epsg:28992,B46D1554,001,,195864,405236,1112,18-07-2016,18-07-2016,28-07-2019,1106,-7,,
B46D1555_1,196378.0,404642.0,,epsg:28992,B46D1555,001,,196378,404642,1164,18-07-2016,18-07-2016,11-10-2019,1147,-17,,
B46D1000_1,194074.0,402308.0,13.16,epsg:28992,B46D1000,001,46DL0036,194074,402308,1633,17-12-2010,17-12-2010,14-09-2018,1718,85,1366,1266
B46D1001_1,194025.0,401810.0,12.91,epsg:28992,B46D1001,001,46DL0037,194025,401810,1733,09-11-1994,09-11-1994,28-04-2006,1726,-7,1341,1241
B46D0804_2,194423.0,400676.0,-8.78,epsg:28992,B46D0804,002,46DP0048,194423,400676,1879,05-01-2011,05-01-2011,14-09-2018,1962,83,-828,-928
B46D0815_1,190925.0,406655.0,10.94,epsg:28992,B46D0815,001,46DP0072,190925,406655,1296,15-09-1980,15-09-1980,28-10-1985,1292,-4,1144,1044
B46D0814_1,191360.0,406610.0,11.18,epsg:28992,B46D0814,001,46DP0071,191360,406610,1323,15-09-1980,15-09-1980,28-08-1987,1309,-14,1168,1068
B46D0730_1,193980.0,401425.0,9.66,epsg:28992,B46D0730,001,46DP0054,193980,401425,1818,09-11-1994,09-11-1994,14-09-2018,1815,-3,1016,916
B46D0731_1,194682.0,401054.0,9.68,epsg:28992,B46D0731,001,46DP0056,194682,401054,1778,02-07-2013,02-07-2013,14-09-2018,1858,80,1018,918
B46D0326_2,190212.0,403931.0,4.34,epsg:28992,B46D0326,002,46DP0326,190212,403931,1705,19-05-2004,19-05-2004,01-02-2011,1776,71,484,384
B46D0327_2,190480.0,404488.0,3.6799999999999997,epsg:28992,B46D0327,002,46DP0327,190480,404488,1540,19-05-2004,19-05-2004,06-03-2012,1616,76,418,318
B46D0816_2,190799.0,406707.0,6.48,epsg:28992,B46D0816,002,46DP0079,190799,406707,1305,04-01-2011,04-01-2011,13-09-2018,1395,90,698,598
B46D0817_2,190555.0,406900.0,6.52,epsg:28992,B46D0817,002,46DP0080,190555,406900,1292,28-03-1989,28-03-1989,14-01-2003,1283,-9,702,602
B46D1012_1,193861.0,406891.0,10.03,epsg:28992,B46D1012,001,46DL0110,193861,406891,1284,15-03-1991,15-03-1991,29-09-2007,1278,-6,1028,978
B46D0979_1,190570.0,405610.0,10.21,epsg:28992,B46D0979,001,46DL0015,190570,405610,1421,14-02-1957,14-02-1957,14-03-1970,1446,25,1071,971
B46D1547_1,195715.0,405709.0,,epsg:28992,B46D1547,001,,195715,405709,1148,19-07-2016,19-07-2016,07-12-2020,1207,59,,
B46D0978_1,192680.0,407180.0,,epsg:28992,B46D0978,001,46DL0006,192680,407180,1331,14-05-1985,26-06-2007,14-04-2016,1325,-6,,
B52B0374_1,192251.0,399549.0,13.17,epsg:28992,B52B0374,001,52BP0087,192251,399549,2142,07-01-2011,07-01-2011,14-09-2018,2226,84,1367,1267
B52B0375_1,194280.0,399880.0,10.58,epsg:28992,B52B0375,001,52BP0088,194280,399880,1920,01-01-1973,01-01-1973,14-01-1988,1898,-22,1108,1008
B46D1495_1,196269.0,403835.0,9.8,epsg:28992,B46D1495,001,,196269,403835,1365,07-10-2016,07-10-2016,13-12-2017,1413,48,1030,930
B46C0118_1,188896.0,405642.0,6.74,epsg:28992,B46C0118,001,46CP0118,188896,405642,1479,25-04-2017,25-04-2017,31-10-2019,1555,81,774,574
B52B0391_1,195652.0,399831.0,12.16,epsg:28992,B52B0391,001,52BP0101,195652,399831,1812,06-01-2011,06-01-2011,14-09-2018,1904,92,1316,1116
B52B0390_1,195003.0,399825.0,13.0,epsg:28992,B52B0390,001,52BP0099,195003,399825,1921,06-01-2011,06-01-2011,14-09-2018,2003,82,1350,1250
B46D0350_2,190622.0,408402.0,2.56,epsg:28992,B46D0350,002,46DP0350,190622,408402,1243,14-01-2011,14-01-2011,01-02-2011,1332,89,306,206
B46D0806_1,195390.0,400070.0,11.19,epsg:28992,B46D0806,001,46DP0050,195390,400070,1757,04-11-1994,04-11-1994,14-01-2003,1756,-1,1169,1069
B46D0807_1,191330.0,406905.0,7.3100000000000005,epsg:28992,B46D0807,001,46DP0064,191330,406905,1302,15-02-1978,15-02-1978,14-06-1987,1300,-2,831,631
B46D0058_1,193610.0,406820.0,3.49,epsg:28992,B46D0058,001,46DB0058,193610,406820,1299,01-03-1946,14-10-1960,28-04-1970,1284,-15,249,449
B46D0059_1,194126.0,406654.0,2.1100000000000003,epsg:28992,B46D0059,001,46DB0059,194126,406654,1461,24-04-1946,14-10-1960,28-12-2000,1478,17,661,-239
