DateTime,Volume
1981-08-31,195000.00000000006
1981-09-30,161000.00000000012
1981-10-31,153390.0
1981-11-30,173500.00000000003
1981-12-31,158899.99999999988
1982-01-31,150999.9999999999
1982-02-28,129000.00000000022
1982-03-31,183099.9999999998
1982-04-30,201000.00000000026
1982-05-31,209999.99999999988
1982-06-30,257000.0000000001
1982-07-31,236000.00000000017
1982-08-31,214178.00000000003
1982-09-30,195000.00000000012
1982-10-31,209999.99999999988
1982-11-30,261999.99999999983
1982-12-31,251999.99999999965
1983-01-31,255644.00000000032
1983-02-28,212256.00000000015
1983-03-31,242850.0000000002
1983-04-30,206598.0
1983-05-31,189749.99999999997
1983-06-30,211736.99999999983
1983-07-31,258830.00000000012
1983-08-31,251507.99999999977
1983-09-30,260006.99999999977
1983-10-31,237301.99999999974
1983-11-30,189246.0000000002
1983-12-31,282427.99999999994
1984-01-31,262648.9999999998
1984-02-29,250741.99999999977
1984-03-31,265101.9999999998
1984-04-30,244828.99999999977
1984-05-31,219665.00000000006
1984-06-30,192671.00000000017
1984-07-31,203475.99999999994
1984-08-31,237938.99999999997
1984-09-30,226017.00000000006
1984-10-31,244990.0
1984-11-30,219391.00000000003
1984-12-31,155694.9999999998
1985-01-31,176841.0
1985-02-28,160057.99999999985
1985-03-31,187340.0000000002
1985-04-30,264148.99999999994
1985-05-31,271758.99999999977
1985-06-30,252861.0000000001
1985-07-31,254763.99999999988
1985-08-31,249495.99999999965
1985-09-30,256410.00000000026
1985-10-31,263063.99999999994
1985-11-30,249122.99999999983
1985-12-31,250381.9999999997
1986-01-31,240302.9999999999
1986-02-28,225744.00000000003
1986-03-31,268715.99999999994
1986-04-30,263061.00000000006
1986-05-31,290195.00000000006
1986-06-30,293150.0000000001
1986-07-31,273633.9999999998
1986-08-31,254875.00000000017
1986-09-30,217691.00000000017
1986-10-31,251127.00000000006
1986-11-30,222749.00000000017
1986-12-31,254400.0000000001
1987-01-31,261208.00000000012
1987-02-28,197810.00000000006
1987-03-31,212357.0000000003
1987-04-30,267200.0000000001
1987-05-31,274621.0000000001
1987-06-30,267487.99999999953
1987-07-31,345862.0000000002
1987-08-31,271764.9999999996
1987-09-30,278611.00000000006
1987-10-31,299743.9999999998
1987-11-30,334620.00000000023
1987-12-31,280117.0
1988-01-31,201439.00000000026
1988-02-29,194634.9999999997
1988-03-31,213313.99999999988
1988-04-30,196565.00000000003
1988-05-31,261448.00000000006
1988-06-30,248556.00000000003
1988-07-31,251618.99999999985
1988-08-31,310651.9999999997
1988-09-30,304067.9999999998
1988-10-31,244815.99999999968
1988-11-30,318054.99999999977
1988-12-31,328877.9999999998
1989-01-31,270614.00000000006
1989-02-28,253575.00000000047
1989-03-31,291856.99999999994
1989-04-30,286115.99999999994
1989-05-31,352798.99999999977
1989-06-30,266389.0000000001
1989-07-31,250476.00000000015
1989-08-31,267607.9999999999
1989-09-30,283653.0000000002
1989-10-31,278560.00000000047
1989-11-30,254361.00000000003
1989-12-31,323406.0
1990-01-31,319670.9999999997
1990-02-28,236451.0
1990-03-31,220958.99999999985
1990-04-30,230669.00000000012
1990-05-31,266726.9999999998
1990-06-30,185654.99999999985
1990-07-31,227438.0
1990-08-31,236374.00000000015
1990-09-30,211096.00000000006
1990-10-31,210135.00000000035
1990-11-30,183268.9999999999
1990-12-31,213298.00000000015
1991-01-31,223498.9999999996
1991-02-28,160352.0
1991-03-31,231319.00000000023
1991-04-30,226642.9999999996
1991-05-31,265029.00000000035
1991-06-30,206589.99999999997
1991-07-31,217352.00000000017
1991-08-31,212182.0000000001
1991-09-30,211922.0000000003
1991-10-31,198520.99999999956
1991-11-30,182124.0000000003
1991-12-31,210045.00000000003
1992-01-31,212431.99999999985
1992-02-29,200943.99999999994
1992-03-31,200475.99999999968
1992-04-30,210315.0
1992-05-31,236909.99999999994
1992-06-30,231999.99999999983
1992-07-31,206807.99999999997
1992-08-31,182622.99999999985
1992-09-30,188606.00000000023
1992-10-31,189699.99999999968
1992-11-30,110178.99999999987
1992-12-31,180347.0000000001
1993-01-31,117830.00000000006
1993-02-28,142712.99999999983
1993-03-31,193867.00000000012
1993-04-30,205481.99999999974
1993-05-31,201454.9999999999
1993-06-30,223049.99999999988
1993-07-31,178312.9999999996
1993-08-31,203045.00000000012
1993-09-30,116116.00000000023
1993-10-31,80267.00000000001
1993-11-30,98691.00000000017
1993-12-31,109155.00000000003
1994-01-31,120221.00000000012
1994-02-28,170799.00000000047
1994-03-31,174483.00000000006
1994-04-30,167796.0
1994-05-31,206627.99999999977
1994-06-30,201979.00000000032
1994-07-31,254398.99999999983
1994-08-31,215735.99999999977
1994-09-30,204985.99999999997
1994-10-31,223516.99999999965
1994-11-30,214286.00000000017
1994-12-31,231144.00000000012
1995-01-31,214146.99999999988
1995-02-28,202475.99999999956
1995-03-31,230975.00000000003
1995-04-30,207996.9999999998
1995-05-31,204598.99999999994
1995-06-30,203279.0000000002
1995-07-31,251747.9999999999
1995-08-31,282509.9999999998
1995-09-30,224731.99999999968
1995-10-31,290611.99999999994
1995-11-30,300670.0
1995-12-31,309700.0000000002
1996-01-31,240727.00000000023
1996-02-29,222320.0
1996-03-31,206581.9999999997
1996-04-30,183595.00000000015
1996-05-31,164456.00000000017
1996-06-30,258813.99999999962
1996-07-31,283472.9999999999
1996-08-31,245308.99999999988
1996-09-30,184959.00000000003
1996-10-31,266476.99999999953
1996-11-30,194954.00000000035
1996-12-31,183825.99999999983
1997-01-31,173278.9999999999
1997-02-28,163976.99999999968
1997-03-31,180747.0000000001
1997-04-30,170593.0
1997-05-31,170827.99999999988
1997-06-30,188184.0000000001
1997-07-31,173936.00000000003
1997-08-31,215176.0
1997-09-30,231752.0000000003
1997-10-31,224515.00000000015
1997-11-30,184996.9999999999
1997-12-31,162915.99999999988
1998-01-31,189072.00000000017
1998-02-28,234111.00000000023
1998-03-31,238728.00000000012
1998-04-30,229664.0000000002
1998-05-31,261765.9999999999
1998-06-30,213822.00000000003
1998-07-31,222472.99999999983
1998-08-31,221611.00000000017
1998-09-30,245549.9999999999
1998-10-31,233258.0000000002
1998-11-30,233043.99999999985
1998-12-31,202461.0000000001
1999-01-31,220741.0000000003
1999-02-28,217576.00000000006
1999-03-31,164106.99999999983
1999-04-30,160367.0000000003
1999-05-31,199490.00000000012
1999-06-30,239309.99999999997
1999-07-31,278437.0000000002
1999-08-31,252403.9999999999
1999-09-30,325561.0000000002
1999-10-31,304692.9999999999
1999-11-30,271103.00000000023
1999-12-31,304133.0000000001
2000-01-31,267871.99999999977
2000-02-29,237593.0000000001
2000-03-31,218220.0000000001
2000-04-30,191778.0000000001
2000-05-31,221814.99999999988
2000-06-30,236595.00000000006
2000-07-31,169684.00000000026
2000-08-31,251464.0000000003
2000-09-30,224411.00000000032
2000-10-31,256987.0
2000-11-30,258276.99999999997
2000-12-31,243513.0
2001-01-31,99875.70000000003
2001-02-28,118378.49999999981
2001-03-31,144127.3999999999
2001-04-30,154340.8000000001
2001-05-31,179217.0999999996
2001-06-30,171103.6000000002
2001-07-31,205101.40000000008
2001-08-31,201212.59999999977
2001-09-30,169697.2999999999
2001-10-31,182909.60000000018
2001-11-30,171742.29999999978
2001-12-31,167306.49999999974
2002-01-31,178320.5999999999
2002-02-28,164383.69999999998
2002-03-31,184769.50000000035
2002-04-30,164994.5000000001
2002-05-31,188064.39999999956
2002-06-30,201549.40000000026
2002-07-31,197015.4000000003
2002-08-31,198555.59999999983
2003-01-31,217162.49999999988
